name,gate_name,n,np.average(construction_times),np.average(simulation_times),np.min(precisions),np.average(abs_errors),np.average(euclid_errors)
rec,X^(1/2),2,0.0,0.75,17,0.0,0.0
rec,X^(1/4),2,0.0,0.0,17,0.0,0.0
rec,X^(1/8),2,0.0,0.5,17,0.0,0.0
rec,H,2,0.25,0.25,17,0.0,0.0
rec,X,2,0.0,0.25,17,0.0,0.0
rec,Y,2,0.25,0.0,17,0.0,0.0
rec,Z,2,0.25,0.0,17,0.0,0.0
rec,Rx,2,0.0,0.25,17,0.0,0.0
rec,Ry,2,0.0,0.25,17,0.0,0.0
rec,Rz,2,0.0,0.25,17,0.0,0.0
itr,X^(1/2),2,0.0,0.5,17,0.0,0.0
itr,X^(1/4),2,0.0,0.5,17,0.0,0.0
itr,X^(1/8),2,0.25,0.5,17,0.0,0.0
itr,H,2,0.25,0.25,17,0.0,0.0
itr,X,2,0.0,0.25,17,0.0,0.0
itr,Y,2,0.5,0.0,17,0.0,0.0
itr,Z,2,0.25,0.5,17,0.0,0.0
itr,Rx,2,0.0,0.25,17,0.0,0.0
itr,Ry,2,0.0,0.5,17,0.0,0.0
itr,Rz,2,0.0,0.0,17,0.0,0.0
rec,X^(1/2),3,0.375,0.625,7,2.2351742e-08,2.2351742e-08
rec,X^(1/4),3,0.5,0.625,7,1.4901161e-08,1.5359765e-08
rec,X^(1/8),3,0.625,0.5,17,0.0,0.0
rec,H,3,0.625,0.75,7,1.8626451e-08,2.3853497e-08
rec,X,3,0.25,0.75,17,0.0,0.0
rec,Y,3,0.625,0.375,17,0.0,0.0
rec,Z,3,0.375,0.625,17,0.0,0.0
rec,Rx,3,0.5,0.625,7,4.4703484e-08,4.4703484e-08
rec,Ry,3,0.5,0.625,7,4.4703484e-08,4.4703484e-08
rec,Rz,3,0.5,0.5,7,4.4703484e-08,4.4703484e-08
itr,X^(1/2),3,0.5,0.5,7,2.2351742e-08,2.2351742e-08
itr,X^(1/4),3,0.5,0.5,7,1.4901161e-08,1.5359765e-08
itr,X^(1/8),3,0.625,0.375,17,0.0,0.0
itr,H,3,0.375,0.625,7,1.8626451e-08,2.3853497e-08
itr,X,3,0.25,0.75,17,0.0,0.0
itr,Y,3,0.625,0.375,17,0.0,0.0
itr,Z,3,0.5,0.625,17,0.0,0.0
itr,Rx,3,0.375,0.75,7,4.4703484e-08,4.4703484e-08
itr,Ry,3,0.125,0.875,7,4.4703484e-08,4.4703484e-08
itr,Rz,3,0.5,0.625,7,4.4703484e-08,4.4703484e-08
rec,X^(1/2),4,2.0625,2.375,7,2.4271714e-08,2.4441931e-08
rec,X^(1/4),4,1.6875,1.6875,7,1.112397e-08,1.2260626e-08
rec,X^(1/8),4,1.75,2.0,6,2.6276824e-08,2.6411618e-08
rec,H,4,1.8125,1.6875,7,5.6281795e-08,6.0334344e-08
rec,X,4,1.5,1.875,7,3.427849e-08,3.4314798e-08
rec,Y,4,1.8125,1.625,7,3.427849e-08,3.4314798e-08
rec,Z,4,1.375,1.8125,7,2.2351742e-08,2.2351742e-08
rec,Rx,4,1.5,1.75,7,3.3527613e-08,3.3585593e-08
rec,Ry,4,1.5,1.8125,7,3.3527613e-08,3.3585593e-08
rec,Rz,4,1.6875,1.5,7,4.020652e-08,4.020652e-08
itr,X^(1/2),4,0.75,1.0625,7,9.778887e-09,1.3282362e-08
itr,X^(1/4),4,0.875,1.3125,7,9.324656e-09,1.0690844e-08
itr,X^(1/8),4,0.8125,1.1875,6,2.3491287e-08,2.3573481e-08
itr,H,4,0.875,1.125,6,1.4584121e-07,1.4896051e-07
itr,X,4,0.625,1.1875,7,7.082876e-08,7.127778e-08
itr,Y,4,0.75,1.25,7,7.082876e-08,7.127778e-08
itr,Z,4,0.75,1.125,7,5.2154064e-08,5.2154064e-08
itr,Rx,4,0.875,1.0,7,1.1175871e-08,1.1233853e-08
itr,Ry,4,0.75,1.25,7,1.1175871e-08,1.1233853e-08
itr,Rz,4,0.625,1.375,7,1.1233853e-08,1.1233853e-08
rec,X^(1/2),5,4.90625,5.34375,7,6.083137e-08,7.047471e-08
rec,X^(1/4),5,5.0,5.25,6,6.672319e-08,7.1447396e-08
rec,X^(1/8),5,5.03125,5.15625,6,9.258916e-08,9.919104e-08
rec,H,5,4.8125,5.125,6,9.668282e-08,1.1245082e-07
rec,X,5,4.875,5.09375,7,4.176755e-08,4.8817387e-08
rec,Y,5,4.9375,5.0625,7,4.176755e-08,4.8817387e-08
rec,Z,5,4.8125,5.03125,7,5.1950035e-08,5.723272e-08
rec,Rx,5,4.90625,5.1875,7,5.8614706e-08,7.022257e-08
rec,Ry,5,4.75,5.34375,7,5.8614706e-08,7.022257e-08
rec,Rz,5,4.875,5.5,6,7.7341376e-08,8.703269e-08
itr,X^(1/2),5,1.4375,2.40625,7,1.0648765e-08,1.3251455e-08
itr,X^(1/4),5,1.34375,2.3125,6,2.9229868e-08,3.1313395e-08
itr,X^(1/8),5,1.34375,2.34375,6,7.1004706e-08,7.1232165e-08
